accession,definition,organism,taxid,length
WP_014926239.1,glycerol kinase,Gordonia sp. KTR9,337191,495
WP_005206214.1,glycerol kinase,Gordonia sputi,36823,505
WP_004021664.1,glycerol kinase,Gordonia terrae,2055,495
WP_003464564.1,glycerol kinase,Gracilibacillus halophilus,470864,496
WP_018931153.1,glycerol kinase,Gracilibacillus lacisalsi,393087,496
WP_020404656.1,glycerol kinase,Gracilimonas tropica,454600,499
WP_005501430.1,glycerol kinase,Grimontia hollisae,673,501
WP_005505576.1,glycerol kinase,Grimontia hollisae,673,502
WP_002535265.1,glycerol kinase,Grimontia indica,1056512,501
WP_005635293.1,glycerol kinase,Haemophilus,724,503
WP_005640250.1,glycerol kinase,Haemophilus,724,503
WP_005658430.1,glycerol kinase,Haemophilus,724,503
WP_005694750.1,glycerol kinase,Haemophilus,724,503
WP_005697426.1,glycerol kinase,Haemophilus,724,503
WP_005626924.1,glycerol kinase,Haemophilus haemolyticus,726,503
WP_005644218.1,glycerol kinase,Haemophilus haemolyticus,726,503
WP_005650776.1,glycerol kinase,Haemophilus influenzae,727,503
WP_005655029.1,glycerol kinase,Haemophilus influenzae,727,503
WP_005687890.1,glycerol kinase,Haemophilus influenzae,727,514
WP_011272170.1,glycerol kinase,Haemophilus influenzae,727,503
WP_012054630.1,glycerol kinase,Haemophilus influenzae,727,503
WP_005700128.1,glycerol kinase,Haemophilus parainfluenzae,729,503
WP_009499675.1,glycerol kinase,Haemophilus sp. oral taxon 851,762964,503
WP_004094211.1,glycerol kinase,Hafnia,568,502
WP_013404615.1,glycerol kinase,Halanaerobium hydrogeniformans,656519,498
WP_014552206.1,glycerol kinase,Halanaerobium praevalens,2331,498
WP_005488099.1,glycerol kinase GlpK,Halanaerobium saccharolyticum,43595,501
WP_005488222.1,glycerol kinase,Halanaerobium saccharolyticum,43595,498
WP_013767675.1,glycerol kinase,Haliscomenobacter hydrossis,2350,498
WP_014644217.1,glycerol kinase,Halobacillus halophilus,1570,497
WP_014644262.1,glycerol kinase,Halobacillus halophilus,1570,498
WP_015327656.1,glycerol kinase,Halobacteroides halobius,42422,497
WP_019020500.1,glycerol kinase,Halomonas lutea,453962,499
WP_018917954.1,glycerol kinase,Halomonas zhanjiangensis,1121960,501
WP_008825428.1,glycerol kinase,Haloplasma contractile,471825,496
WP_011812896.1,glycerol kinase,Halorhodospira halophila,1053,507
WP_012635754.1,glycerol kinase,Halothermothrix orenii,31909,499
WP_012823872.1,glycerol kinase,Halothiobacillus neapolitanus,927,504
WP_006018368.1,glycerol kinase,Helicobacter bizzozeronii,56877,495
WP_013469695.1,glycerol kinase,Helicobacter felis,214,495
WP_013022838.1,glycerol kinase,Helicobacter mustelae,217,495
WP_017451333.1,glycerol kinase,Herbaspirillum,963,493
WP_006464942.1,glycerol kinase,Herbaspirillum frisingense,92645,493
WP_016833172.1,glycerol kinase,Herbaspirillum lusitanum,213312,493
WP_013233004.1,glycerol kinase,Herbaspirillum seropedicae,964,495
WP_007877649.1,glycerol kinase,Herbaspirillum sp. CF444,1144319,493
WP_008325925.1,glycerol kinase,Herbaspirillum sp. GW103,1175306,493
WP_008116278.1,glycerol kinase,Herbaspirillum sp. YR522,1144342,506
WP_011869791.1,glycerol kinase,Herminiimonas arsenicoxydans,204773,498
WP_003864138.1,glycerol kinase,Holdemanella biformis,1735,493
WP_006060539.1,glycerol kinase,Holdemania filiformis,61171,499
WP_013809138.1,glycerol kinase,Hoyosella subflava,639313,505
WP_013809140.1,glycerol kinase,Hoyosella subflava,639313,508
WP_002605246.1,glycerol kinase,Hungatella hathewayi,154046,498
WP_006774122.1,glycerol kinase,Hungatella hathewayi,154046,498
WP_006782431.1,glycerol kinase,Hungatella hathewayi,154046,503
WP_009514949.1,glycerol kinase,Hydrogenophaga,47420,499
WP_006297890.1,glycerol kinase,Hylemonella gracilis,80880,497
WP_013386479.1,glycerol kinase,Ilyobacter polytropus,167642,503
WP_013388179.1,glycerol kinase,Ilyobacter polytropus,167642,503
WP_013494209.1,glycerol kinase,Intrasporangium calvum,53358,502
WP_013837723.1,glycerol kinase,Isoptericola variabilis,139208,504
WP_013565336.1,glycerol kinase,Isosphaera pallida,128,501
WP_009775814.1,glycerol kinase,Janibacter sp. HTCC2649,313589,504
WP_010399331.1,glycerol kinase,Janthinobacterium lividum,29581,497
WP_017876099.1,glycerol kinase,Janthinobacterium sp. CG3,1075768,498
WP_008445406.1,glycerol kinase,Janthinobacterium sp. HH01,1198452,501
WP_008448222.1,glycerol kinase,Janthinobacterium sp. HH01,1198452,495
WP_012078133.1,glycerol kinase,Janthinobacterium sp. Marseille,375286,498
WP_015770778.1,glycerol kinase,Jonesia denitrificans,43674,505
WP_012084639.1,glycerol kinase,Kineococcus radiotolerans,131568,522
WP_012084652.1,glycerol kinase,Kineococcus radiotolerans,131568,510
WP_006594329.1,glycerol kinase,Kineosphaera limosa,111564,507
WP_006594500.1,glycerol kinase,Kineosphaera limosa,111564,509
WP_014134711.1,glycerol kinase,Kitasatospora setae,2066,514
WP_004205092.1,glycerol kinase,Klebsiella,570,503
WP_004873089.1,glycerol kinase,Klebsiella,570,503
WP_008806810.1,glycerol kinase,Klebsiella,570,503
WP_006213291.1,glycerol kinase,Kocuria palustris,71999,561
WP_006215657.1,glycerol kinase,Kocuria palustris,71999,510
WP_012398418.1,glycerol kinase,Kocuria rhizophila,72000,506
WP_019309292.1,glycerol kinase,Kocuria rhizophila,72000,506
WP_017832284.1,glycerol kinase,Kocuria sp. UCD-OTCP,1292021,507
WP_014104205.1,glycerol kinase,Komagataeibacter medellinensis,1177712,499
WP_017459642.1,glycerol kinase,Kosakonia sacchari,1158459,502
WP_020384893.1,glycerol kinase,Kribbella catacumbae,460086,501
WP_020384896.1,glycerol kinase,Kribbella catacumbae,460086,505
WP_012920815.1,glycerol kinase,Kribbella flavida,182640,505
WP_012920820.1,glycerol kinase,Kribbella flavida,182640,508
WP_007909953.1,glycerol kinase,Ktedonobacter racemifer,363277,496
WP_010290695.1,glycerol kinase,Kurthia massiliensis,1033739,497
WP_010303936.1,glycerol kinase,Kurthia senegalensis,1033740,498
WP_010307369.1,glycerol kinase,Kurthia senegalensis,1033740,496
WP_019952221.1,glycerol kinase,Kushneria aurantia,504092,502
WP_015779519.1,glycerol kinase,Kytococcus sedentarius,1276,514
WP_008750616.1,glycerol kinase,Lachnoanaerobaculum saburreum,467210,498
WP_009664034.1,glycerol kinase,Lachnoanaerobaculum sp. ICM7,936594,498
WP_007595806.1,glycerol kinase,Lachnoanaerobaculum sp. OBRC5-5,936595,498
WP_002569415.1,glycerol kinase,Lachnoclostridium,1506553,498
WP_012198074.1,glycerol kinase,Lachnoclostridium phytofermentans,66219,499
WP_009268060.1,glycerol kinase,Lachnospiraceae bacterium 1_4_56FAA,658655,503
WP_016292161.1,glycerol kinase,Lachnospiraceae bacterium 28-4,397287,499
WP_009756919.1,glycerol kinase,Lachnospiraceae bacterium 2_1_46FAA,742723,498
WP_016288933.1,glycerol kinase,Lachnospiraceae bacterium 3-1,397288,498
WP_008976586.1,glycerol kinase,Lachnospiraceae bacterium 6_1_37FAA,658656,498
WP_009246164.1,glycerol kinase,Lachnospiraceae bacterium 6_1_63FAA,658083,498
WP_009263020.1,glycerol kinase,Lachnospiraceae bacterium 9_1_43BFAA,658088,498
WP_016282400.1,glycerol kinase,Lachnospiraceae bacterium A4,397291,498
WP_016293843.1,glycerol kinase,Lachnospiraceae bacterium M18-1,1235792,498
WP_009445993.1,glycerol kinase,Lachnospiraceae bacterium oral taxon 082,712976,498
WP_009220118.1,glycerol kinase,Lachnospiraceae bacterium oral taxon 500,712991,498
WP_003569146.1,glycerol kinase,Lactobacillus,1578,505
WP_003581235.1,glycerol kinase,Lactobacillus,1578,504
WP_003643773.1,glycerol kinase,Lactobacillus,1578,505
WP_004563180.1,glycerol kinase,Lactobacillus,1578,503
WP_005684152.1,glycerol kinase,Lactobacillus,1578,505
WP_005688150.1,glycerol kinase,Lactobacillus,1578,510
WP_005714156.1,glycerol kinase,Lactobacillus,1578,510
WP_005715114.1,glycerol kinase,Lactobacillus,1578,505
WP_005717732.1,glycerol kinase,Lactobacillus,1578,510
WP_014570154.1,glycerol kinase,Lactobacillus,1578,510
WP_014571668.1,glycerol kinase,Lactobacillus,1578,510
WP_015764267.1,glycerol kinase,Lactobacillus,1578,505
WP_016386908.1,glycerol kinase,Lactobacillus,1578,505
WP_010495302.1,glycerol kinase,Lactobacillus acidipiscis,89059,507
WP_010495339.1,glycerol kinase,Lactobacillus acidipiscis,89059,500
WP_003549614.1,glycerol kinase,Lactobacillus acidophilus,1579,500
WP_006352215.1,glycerol kinase,Lactobacillus amylolyticus,83683,503
WP_013438724.1,glycerol kinase,Lactobacillus amylovorus,1604,500
WP_013642546.1,glycerol kinase,Lactobacillus amylovorus,1604,500
WP_010688305.1,glycerol kinase,Lactobacillus animalis,1605,496
WP_003552114.1,glycerol kinase,Lactobacillus brevis,1580,504
WP_003553976.1,glycerol kinase,Lactobacillus brevis,1580,503
WP_011667032.1,glycerol kinase,Lactobacillus brevis,1580,504
WP_011667623.1,glycerol kinase,Lactobacillus brevis,1580,500
WP_003557623.1,glycerol kinase,Lactobacillus buchneri,1581,504
WP_003560405.1,glycerol kinase,Lactobacillus buchneri,1581,503
WP_013727343.1,glycerol kinase,Lactobacillus buchneri,1581,503
WP_013727874.1,glycerol kinase,Lactobacillus buchneri,1581,507
WP_014939952.1,glycerol kinase,Lactobacillus buchneri,1581,502
WP_003577951.1,glycerol kinase,Lactobacillus casei,1582,505
WP_003590164.1,glycerol kinase,Lactobacillus casei,1582,505
WP_003596344.1,glycerol kinase,Lactobacillus casei,1582,504
WP_003563706.1,glycerol kinase,Lactobacillus casei group,655183,505
WP_003567856.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_003585725.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_003600071.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_003601387.1,glycerol kinase,Lactobacillus casei group,655183,505
WP_003604510.1,glycerol kinase,Lactobacillus casei group,655183,505
WP_003606111.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_003662599.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_012492057.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_016364114.1,glycerol kinase,Lactobacillus casei group,655183,504
WP_006916069.1,glycerol kinase,Lactobacillus coleohominis,181675,501
WP_010011498.1,glycerol kinase,Lactobacillus coryniformis,1610,503
WP_010013962.1,glycerol kinase,Lactobacillus coryniformis,1610,503
WP_005720043.1,glycerol kinase,Lactobacillus crispatus,47770,499
WP_005721840.1,glycerol kinase,Lactobacillus crispatus,47770,499
WP_005726513.1,glycerol kinase,Lactobacillus crispatus,47770,499
WP_005728210.1,glycerol kinase,Lactobacillus crispatus,47770,499
WP_013087003.1,glycerol kinase,Lactobacillus crispatus,47770,500
WP_004270348.1,glycerol kinase,Lactobacillus curvatus,28038,505
WP_002879452.1,glycerol kinase,Lactobacillus delbrueckii,1584,502
WP_003613593.1,glycerol kinase,Lactobacillus delbrueckii,1584,502
WP_003620463.1,glycerol kinase,Lactobacillus delbrueckii,1584,502
WP_013440297.1,glycerol kinase,Lactobacillus delbrueckii,1584,502
WP_016396135.1,glycerol kinase,Lactobacillus delbrueckii,1584,502
WP_008462033.1,glycerol kinase,Lactobacillus equicursoris,420645,505
WP_009557491.1,glycerol kinase,Lactobacillus equicursoris,420645,505
WP_010018095.1,glycerol kinase,Lactobacillus farciminis,1612,499
WP_010020829.1,glycerol kinase,Lactobacillus farciminis,1612,501
WP_010020831.1,glycerol kinase,Lactobacillus farciminis,1612,501
WP_015639138.1,glycerol kinase,Lactobacillus fermentum,1613,503
WP_009166482.1,glycerol kinase,Lactobacillus florum,640331,501
WP_007122658.1,glycerol kinase,Lactobacillus gastricus,227942,508
WP_008474020.1,glycerol kinase,Lactobacillus gigeriorum,1203069,500
WP_014919570.1,glycerol kinase,Lactobacillus helveticus,1587,499
WP_003634723.1,glycerol kinase,Lactobacillus hilgardii,1588,504
WP_004561489.1,glycerol kinase,Lactobacillus hilgardii,1588,503
WP_008471032.1,glycerol kinase,Lactobacillus hominis,1203033,498
WP_006729375.1,glycerol kinase,Lactobacillus iners,147802,507
WP_006585328.1,glycerol kinase,Lactobacillus jensenii,109790,498
WP_006585989.1,glycerol kinase,Lactobacillus jensenii,109790,498
WP_006588808.1,glycerol kinase,Lactobacillus jensenii,109790,493
WP_013854861.1,glycerol kinase,Lactobacillus kefiranofaciens,267818,500
WP_008855391.1,glycerol kinase,Lactobacillus kisonensis,481722,507
WP_010619851.1,glycerol kinase,Lactobacillus malefermentans,176292,502
WP_010620325.1,glycerol kinase,Lactobacillus malefermentans,176292,502
WP_003689046.1,glycerol kinase,Lactobacillus mali,1618,503
WP_003689086.1,glycerol kinase,Lactobacillus mali,1618,506
WP_006499106.1,glycerol kinase,Lactobacillus mucosae,97478,501
WP_003715188.1,glycerol kinase,Lactobacillus oris,1632,501
WP_020280282.1,glycerol kinase,Lactobacillus otakiensis,481720,502
WP_020280820.1,glycerol kinase,Lactobacillus otakiensis,481720,503
WP_020089439.1,glycerol kinase,Lactobacillus parabrevis,357278,505
WP_020090403.1,glycerol kinase,Lactobacillus parabrevis,357278,499
WP_003573925.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_003576588.1,glycerol kinase,Lactobacillus paracasei,1597,504
WP_003662830.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_016363265.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_016368727.1,glycerol kinase,Lactobacillus paracasei,1597,504
WP_016370762.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_016382673.1,glycerol kinase,Lactobacillus paracasei,1597,504
WP_016384651.1,glycerol kinase,Lactobacillus paracasei,1597,504
WP_016385750.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_016387867.1,glycerol kinase,Lactobacillus paracasei,1597,507
WP_019897328.1,glycerol kinase,Lactobacillus paracasei,1597,505
WP_008214688.1,glycerol kinase,Lactobacillus parafarraginis,390842,501
WP_009558930.1,glycerol kinase,Lactobacillus pasteurii,872327,500
WP_003637591.1,glycerol kinase,Lactobacillus pentosus,1589,505
WP_003637909.1,glycerol kinase,Lactobacillus pentosus,1589,498
WP_003641088.1,glycerol kinase,Lactobacillus plantarum,1590,508
WP_003641943.1,glycerol kinase,Lactobacillus plantarum,1590,505
WP_003643996.1,glycerol kinase,Lactobacillus plantarum,1590,508
WP_003645802.1,glycerol kinase,Lactobacillus plantarum,1590,508
WP_011101174.1,glycerol kinase,Lactobacillus plantarum,1590,508
WP_013355271.1,glycerol kinase,Lactobacillus plantarum,1590,508
WP_015379759.1,glycerol kinase,Lactobacillus plantarum,1590,505
WP_017867576.1,glycerol kinase,Lactobacillus pobuzihii,449659,501
WP_017867932.1,glycerol kinase,Lactobacillus pobuzihii,449659,507
WP_003663509.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_003667028.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_013923767.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_016496753.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_019252118.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_019252826.1,glycerol kinase,Lactobacillus reuteri,1598,500
WP_005691804.1,glycerol kinase,Lactobacillus rhamnosus,47715,505
WP_015764758.1,glycerol kinase,Lactobacillus rhamnosus,47715,510
WP_017260897.1,glycerol kinase,Lactobacillus rossiae,231049,501
WP_017261813.1,glycerol kinase,Lactobacillus rossiae,231049,499
WP_009552087.1,glycerol kinase,Lactobacillus saerimneri,228229,500
WP_011374358.1,glycerol kinase,Lactobacillus sakei,1599,505
WP_003700771.1,glycerol kinase,Lactobacillus salivarius,1624,504
WP_014081590.1,glycerol kinase,Lactobacillus sanfranciscensis,1625,504
WP_014081970.1,glycerol kinase,Lactobacillus sanfranciscensis,1625,500
WP_004040227.1,glycerol kinase,Lactobacillus sp. ASF360,97137,500
WP_010621370.1,glycerol kinase,Lactobacillus suebicus,152335,505
WP_010622147.1,glycerol kinase,Lactobacillus suebicus,152335,499
WP_010624415.1,glycerol kinase,Lactobacillus versmoldensis,194326,500
WP_010624417.1,glycerol kinase,Lactobacillus versmoldensis,194326,502
WP_010579524.1,glycerol kinase,Lactobacillus vini,238015,504
WP_010493470.1,glycerol kinase,Lactobacillus zeae,57037,505
WP_019292543.1,glycerol kinase,Lactococcus,1357,498
WP_003136372.1,glycerol kinase,Lactococcus garvieae,1363,498
WP_003136794.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_004256320.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_004257913.1,glycerol kinase,Lactococcus garvieae,1363,498
WP_014024629.1,glycerol kinase,Lactococcus garvieae,1363,498
WP_014024995.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_017369159.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_017369574.1,glycerol kinase,Lactococcus garvieae,1363,498
WP_019292737.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_019293832.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_019299425.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_019335492.1,glycerol kinase,Lactococcus garvieae,1363,496
WP_003131019.1,glycerol kinase,Lactococcus lactis,1358,498
WP_011676355.1,glycerol kinase,Lactococcus lactis,1358,505
WP_011835007.1,glycerol kinase,Lactococcus lactis,1358,505
WP_012897853.1,glycerol kinase,Lactococcus lactis,1358,498
WP_014572735.1,glycerol kinase,Lactococcus lactis,1358,505
WP_015082544.1,glycerol kinase,Lactococcus lactis,1358,505
WP_015426473.1,glycerol kinase,Lactococcus lactis,1358,498
WP_004261739.1,glycerol kinase,Lactococcus raffinolactis,1366,498
WP_013409009.1,glycerol kinase,Leadbetterella byssophila,316068,495
WP_018151595.1,glycerol kinase,Leeia oryzae,356662,494
WP_009778966.1,glycerol kinase,Leeuwenhoekiella blandensis,360293,497
WP_011185436.1,glycerol kinase,Leifsonia xyli,1575,506
WP_010532142.1,glycerol kinase,Lentibacillus jeotgali,558169,497
WP_007281319.1,glycerol kinase,Lentisphaera araneosa,256847,509
WP_012348228.1,glycerol kinase,Leptothrix cholodnii,34029,497
WP_012806570.1,glycerol kinase,Leptotrichia buccalis,40542,505
WP_006807191.1,glycerol kinase,Leptotrichia goodfellowii,157692,514
WP_006804897.1,glycerol kinase,Leptotrichia hofstadii,157688,503
WP_010156823.1,glycerol kinase,Leucobacter chromiiresistens,1079994,504
WP_017793875.1,glycerol kinase,Leucobacter salsicius,664638,503
WP_017884908.1,glycerol kinase,Leucobacter sp. UCD-THU,1292023,504
WP_019190290.1,glycerol kinase,Levyella massiliensis,938289,498
WP_020538754.1,glycerol kinase,Lewinella cohaerens,70995,499
WP_020568670.1,glycerol kinase,Lewinella persica,70998,497
WP_008251044.1,glycerol kinase,Limnobacter sp. MED105,391597,496
WP_019426795.1,glycerol kinase,Limnohabitans sp. Rim28,1100720,500
WP_019429872.1,glycerol kinase,Limnohabitans sp. Rim47,1100721,501
WP_003771956.1,glycerol kinase,Listeria,1637,497
